uniprot,gene,skin_score,tier,cell_type_preferred,worth_curating,evidence_exists_elsewhere,work_needed,druggable_class,structural_family,protein_class,description
P02649,APOE,0.6597845953905724,high,melanocytes,False,False,not in a druggable class - low priority,False,False,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted secreted proteins",Apolipoprotein E
P62854,RPS26,0.6565757599347878,high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Ribosomal proteins",Ribosomal protein S26
P84101,SERF2,0.6553529093172037,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,Predicted intracellular proteins,Small EDRK-rich factor 2
Q07352,ZFP36L1,0.6549865393096422,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",ZFP36 ring finger protein like 1
P17275,JUNB,0.654602431328152,high,fibroblasts,False,False,not in a druggable class - low priority,False,False,"Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors","JunB proto-oncogene, AP-1 transcription factor subunit"
P22528,SPRR1B,0.650582184888405,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Cancer-related genes, Essential proteins, Predicted intracellular proteins",Small proline rich protein 1B
P31151,S100A7,0.6424585414008155,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",S100 calcium binding protein A7
P0CG47,UBB,0.6408284053826927,high,melanocytes,False,False,not in a druggable class - low priority,False,False,Predicted intracellular proteins,Ubiquitin B
P41567,EIF1,0.6390571556412837,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Essential proteins, Plasma proteins, Predicted intracellular proteins",Eukaryotic translation initiation factor 1
Q14134,TRIM29,0.6377790152413532,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,Predicted intracellular proteins,Tripartite motif containing 29
Q9UMD9,COL17A1,0.6351343003846062,high,basal keratinocytes,False,False,structural protein - skip,False,True,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Collagen type XVII alpha 1 chain
Q9BYD5,CNFN,0.6346859324677891,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,Predicted intracellular proteins,Cornifelin
Q14956,GPNMB,0.6324790079619249,high,melanocytes,False,False,not in a druggable class - low priority,False,False,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Glycoprotein nmb
P08123,COL1A2,0.6322301130494516,high,fibroblasts,False,False,structural protein - skip,False,True,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins",Collagen type I alpha 2 chain
P83881,RPL36A,0.6313533231047473,high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Essential proteins, Metabolic proteins, Predicted intracellular proteins, Ribosomal proteins",Ribosomal protein L36a
Q9H3Y8,PPDPF,0.6292116079806429,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,Predicted intracellular proteins,Pancreatic progenitor cell differentiation and proliferation factor
Q13835,PKP1,0.6284187461391226,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Plakophilin 1
Q9P0U1,TOMM7,0.6278643908866812,high,basal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Predicted intracellular proteins, Predicted membrane proteins",Translocase of outer mitochondrial membrane 7
Q03001,DST,0.6223763813439185,high,basal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Dystonin
P23142,FBLN1,0.6185693063354467,high,fibroblasts,False,False,not in a druggable class - low priority,False,False,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Fibulin 1
Q16270,IGFBP7,0.6172423413153469,high,lymphatic endothelial cells,False,False,not in a druggable class - low priority,False,False,"Disease related genes, Plasma proteins, Predicted secreted proteins",Insulin like growth factor binding protein 7
P02461,COL3A1,0.6166364128644164,high,fibroblasts,False,False,structural protein - skip,True,True,"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Collagen type III alpha 1 chain
P03973,SLPI,0.6164396997036528,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Cancer-related genes, Plasma proteins, Predicted secreted proteins",Secretory leukocyte peptidase inhibitor
P12110,COL6A2,0.6155491915150813,high,fibroblasts,False,False,structural protein - skip,False,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Collagen type VI alpha 2 chain
Q9NZM5,NOP53,0.6147348075866228,high,basal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Essential proteins, Predicted intracellular proteins",NOP53 ribosome biogenesis factor
Q9H299,SH3BGRL3,0.6120119154550876,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Plasma proteins, Predicted intracellular proteins",SH3 domain binding glutamate rich protein like 3
P13646,KRT13,0.6092258366766179,high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Keratin 13
Q14574,DSC3,0.605096763243778,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins",Desmocollin 3
