normalised,display_name,smiles,inchikey,source,is_ingredient_name
l leucine,l-leucine,CC(C)CC(N)C(=O)O,ROHFNLRQFUQHCH-UHFFFAOYSA-N,ChEMBL,False
l lys,l-lys,NCCCCC(N)C(=O)O,KDXKERNSBIXSRK-UHFFFAOYSA-N,GtoPdb,False
l lysine,l-lysine,NCCCCC(N)C(=O)O,KDXKERNSBIXSRK-UHFFFAOYSA-N,GtoPdb,False
l lysine acetate,l-lysine acetate,NCCCCC(N)C(=O)O,KDXKERNSBIXSRK-UHFFFAOYSA-N,ChEMBL,False
l lysine acetylsalicylate,l-lysine acetylsalicylate,NCCCCC(N)C(=O)O,KDXKERNSBIXSRK-UHFFFAOYSA-N,ChEMBL,False
l lysine hydrochloride,l-lysine hydrochloride,NCCCCC(N)C(=O)O,KDXKERNSBIXSRK-UHFFFAOYSA-N,ChEMBL,False
l lysine monoacetate,l-lysine monoacetate,NCCCCC(N)C(=O)O,KDXKERNSBIXSRK-UHFFFAOYSA-N,ChEMBL,False
l malate,l-malate,O=C(O)CC(O)C(=O)O,BJEPYKJPYRNKOW-UHFFFAOYSA-N,ChEMBL,False
l malic acid,l-malic acid,O=C(O)CC(O)C(=O)O,BJEPYKJPYRNKOW-UHFFFAOYSA-N,ChEMBL,False
l menthol,l-menthol,CC1CCC(C(C)C)C(O)C1,NOOLISFMXDJSKH-UHFFFAOYSA-N,ChEMBL,False
l met,l-met,CSCCC(N)C(=O)O,FFEARJCKVFRZRR-UHFFFAOYSA-N,GtoPdb,False
l methadone,l-methadone,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,USSIQXCVUWKGNF-UHFFFAOYSA-N,ChEMBL,False
l methamphetamine,l-methamphetamine,CNC(C)Cc1ccccc1,MYWUZJCMWCOHBA-UHFFFAOYSA-N,ChEMBL,False
l methionine,l-methionine,CSCCC(N)C(=O)O,FFEARJCKVFRZRR-UHFFFAOYSA-N,GtoPdb,False
l methorphan,l-methorphan,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,MKXZASYAUGDDCJ-UHFFFAOYSA-N,ChEMBL,False
l n 107,l.n. 107,CCc1ccc(C(=C(Br)c2ccccc2)c2ccccc2)cc1,OQCYTSHIQNPJIC-UHFFFAOYSA-N,ChEMBL,False
l norgestrel,l-norgestrel,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21CC,LYRBZVWRTAFWPO-UHFFFAOYSA-N,GtoPdb,False
l norvaline,l-norvaline,CCCC(N)C(=O)O,SNDPXSYFESPGGJ-UHFFFAOYSA-N,BindingDB,False
l op,l-op,NCCCC(N)C(=O)O,AHLPHDHHMVZTML-UHFFFAOYSA-N,ChEMBL,False
l ornithine,l-ornithine,NCCCC(N)C(=O)O,AHLPHDHHMVZTML-UHFFFAOYSA-N,GtoPdb,False
l ornithine benzeneacetate 1 1,"l-ornithine, benzeneacetate (1:1)",NCCCC(N)C(=O)O,AHLPHDHHMVZTML-UHFFFAOYSA-N,ChEMBL,False
l pca,l-pca,O=C1CCC(C(=O)O)N1,ODHCTXKNWHHXJC-UHFFFAOYSA-N,ChEMBL,False
l phe,l-phe,NC(Cc1ccccc1)C(=O)O,COLNVLDHVKWLRT-UHFFFAOYSA-N,GtoPdb,False
l phenylalanine,l-phenylalanine,NC(Cc1ccccc1)C(=O)O,COLNVLDHVKWLRT-UHFFFAOYSA-N,ChEMBL,False
l phenylalanine 23,"l-phenylalanine, 23",NC(Cc1ccccc1)C(=O)O,COLNVLDHVKWLRT-UHFFFAOYSA-N,BindingDB,False
l polamivet,l-polamivet,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,USSIQXCVUWKGNF-UHFFFAOYSA-N,ChEMBL,False
l pro,l-pro,O=C(O)C1CCCN1,ONIBWKKTOPOVIA-UHFFFAOYSA-N,GtoPdb,False
l proline,l-proline,O=C(O)C1CCCN1,ONIBWKKTOPOVIA-UHFFFAOYSA-N,ChEMBL,False
l pyroglutamic acid,l-pyroglutamic acid,O=C1CCC(C(=O)O)N1,ODHCTXKNWHHXJC-UHFFFAOYSA-N,ChEMBL,False
l pyrrolidone carboxylic acid,l-pyrrolidone carboxylic acid,O=C1CCC(C(=O)O)N1,ODHCTXKNWHHXJC-UHFFFAOYSA-N,ChEMBL,False
l ser,l-ser,NC(CO)C(=O)O,MTCFGRXMJLQNBG-UHFFFAOYSA-N,GtoPdb,False
l serine,l-serine,NC(CO)C(=O)O,MTCFGRXMJLQNBG-UHFFFAOYSA-N,ChEMBL,False
l sulforaphane,l-sulforaphane,C[S+]([O-])CCCCN=C=S,SUVMJBTUFCVSAD-UHFFFAOYSA-N,ChEMBL,False
l tartaric acid,l-tartaric acid,O=C(O)C(O)C(O)C(=O)O,FEWJPZIEWOKRBE-UHFFFAOYSA-N,ChEMBL,False
l tetrahydropalmatine,l-tetrahydropalmatine,COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3CN1CC2,AEQDJSLRWYMAQI-UHFFFAOYSA-N,ChEMBL,False
l theanine,l-theanine,CCNC(=O)CCC(N)C(=O)O,DATAGRPVKZEWHA-UHFFFAOYSA-N,ChEMBL,False
l thr,l-thr,CC(O)C(N)C(=O)O,AYFVYJQAPQTCCC-UHFFFAOYSA-N,GtoPdb,False
l threonine,l-threonine,CC(O)C(N)C(=O)O,AYFVYJQAPQTCCC-UHFFFAOYSA-N,ChEMBL,False
l trp,l-trp,NC(Cc1c[nH]c2ccccc12)C(=O)O,QIVBCDIJIAJPQS-UHFFFAOYSA-N,GtoPdb,False
l tryptophan,l-tryptophan,NC(Cc1c[nH]c2ccccc12)C(=O)O,QIVBCDIJIAJPQS-UHFFFAOYSA-N,ChEMBL,False
l tyr,l-tyr,NC(Cc1ccc(O)cc1)C(=O)O,OUYCCCASQSFEME-UHFFFAOYSA-N,GtoPdb,False
l tyrosine,l-tyrosine,NC(Cc1ccc(O)cc1)C(=O)O,OUYCCCASQSFEME-UHFFFAOYSA-N,ChEMBL,False
